lon,lat
75,60
78.35,60
81.7,60
85.05,60
88.4,60
91.75,60
95.1,60
98.45,60
101.8,60
105.15,60
108.5,60
111.85,60
115.2,60
118.55000000000001,60
121.9,60
125.25,60
128.6,60
131.95,60
75,63.35
78.35,63.35
81.7,63.35
85.05,63.35
88.4,63.35
91.75,63.35
95.1,63.35
98.45,63.35
101.8,63.35
105.15,63.35
108.5,63.35
111.85,63.35
115.2,63.35
118.55000000000001,63.35
121.9,63.35
125.25,63.35
128.6,63.35
131.95,63.35
75,66.7
78.35,66.7
81.7,66.7
85.05,66.7
88.4,66.7
91.75,66.7
95.1,66.7
98.45,66.7
101.8,66.7
105.15,66.7
108.5,66.7
111.85,66.7
115.2,66.7
118.55000000000001,66.7
121.9,66.7
125.25,66.7
128.6,66.7
131.95,66.7
75,70.05
78.35,70.05
81.7,70.05
85.05,70.05
88.4,70.05
91.75,70.05
95.1,70.05
98.45,70.05
101.8,70.05
105.15,70.05
108.5,70.05
111.85,70.05
115.2,70.05
118.55000000000001,70.05
121.9,70.05
125.25,70.05
128.6,70.05
131.95,70.05
81.7,73.4
85.05,73.4
88.4,73.4
91.75,73.4
95.1,73.4
98.45,73.4
101.8,73.4
105.15,73.4
111.85,73.4
115.2,73.4
125.25,73.4
101.8,76.75
105.15,76.75
